外部 ID,标题,描述,等级,状态,计划发布时间,实际发布时间
1007001,产品列表支持卡片与表格双视图切换,产品管理主页需支持卡片/列表视图切换，偏好写入 sessionStorage，刷新后保持用户选择。,p1,待评审,2026-07-01,
1007002,新建产品时负责人默认留空待认领,创建/导入产品时不自动绑定当前用户为负责人，支持后续多人认领与指派。,p0,已立项,2026-06-20,2026-06-25
1007003,修改产品弹窗支持多选负责人,产品编辑表单增加 UserMultiSearchSelect，可指定 0-N 位负责人并同步成员权限。,p0,开发中,2026-06-18,
1007004,产品类型可配置且内置四类不可删,系统/子系统/应用/插件为内置类型，支持自定义类型与编号前缀联动。,p1,已上线,2026-05-10,2026-05-28
1007005,产品收藏与仅看收藏筛选,用户可收藏常用产品，列表支持 favoritesOnly 筛选并持久化 favoriteIds。,p2,待规划,2026-08-01,
1007006,产品批量选择与 CSV 导出,产品列表支持复选框多选，SelectionActionBar 一键导出选中产品摘要 CSV。,p2,待评审,2026-07-15,
1007007,单产品视图左侧分区导航,进入单产品后按概览/版本/需求/功能/看板/RTM/报告/缺陷/团队/知识库/图谱分区展示。,p1,已上线,2026-04-01,2026-04-20
1007008,内部版本与正式版本分 Tab 管理,版本模块区分内部版本(T)与正式版本(V)，各自独立表格与详情页。,p0,开发中,2026-06-01,
1007009,内部版本表合并系统应用为产品列,列表与详情基础信息去掉系统/应用两列，统一展示产品名称，兼容历史导入数据。,p1,待评审,2026-06-30,
1007010,发起立项三步向导,立项流程：基础信息 -> Agent 评审 -> 立项决策，评审流式展示进度与维度得分。,p0,已排期,2026-06-25,
1007011,立项 Agent 评审上传方案文件,第二步支持 PDF/Word/Markdown 等上传，走 review-agent SSE 流式打分。,p0,开发中,2026-06-22,
1007012,立项通过后生成 T 立项号,负责人同意或评审会路径完成后自动分配 TAPD 风格 T 号并写入 initiation.tCode。,p0,待规划,2026-07-05,
1007013,正式版本申领绑定已批准立项,申领 V 号需选择已 approved 的内部版本，继承关联需求与功能清单。,p0,已立项,2026-06-15,
1007014,临时优化需求快速申领小版本,无 T 号的紧急小优化可走 temporary 流程，自动按小版本规则审批。,p1,待评审,2026-07-10,
1007015,版本历史 Excel 导入,应用管理员可在总览/单产品导入立项语雀与上线语雀格式 Excel/CSV 历史数据。,p1,已上线,2026-03-01,2026-03-15
