目录路径,功能名称,等级,功能类型,所属模块,描述,外部ID,关键规则,验收标准
产品管理系统,产品管理系统,,,产品管理,产品管理智能体：产品、版本、需求、功能、缺陷、客户、知识库全链路管理,,,
全局总览,全局总览,,,全局总览,跨产品聚合视角，路由 /product-agent,,,
全局总览/概览仪表盘,概览仪表盘,p0,core,全局总览,KPI 卡片展示需求/功能/缺陷/版本数量,?section=dashboard,PMS-FEA-OV-DASH,按用户权限范围聚合数据,卡片数字与对应列表总数一致
全局总览/概览仪表盘/需求分级分布,需求分级分布图,p2,basic,全局总览,概览页需求 P0-P3 分布饼图,PMS-FEA-OV-DASH-REQ-CHART,数据来自权限内全部需求,切换分区后图表仍正确渲染
全局总览/概览仪表盘/缺陷状态分布,缺陷状态分布图,p2,basic,全局总览,概览页缺陷按工作流状态分布,PMS-FEA-OV-DASH-DEF-CHART,严重程度与状态分开展示,图例与列表状态一致
全局总览/概览仪表盘/版本漏斗,版本生命周期漏斗,p2,basic,全局总览,立项与正式版本阶段漏斗,PMS-FEA-OV-DASH-VER-FUNNEL,含立项与正式两类,各阶段数量与版本列表一致
全局总览/概览仪表盘/最近活动,最近活动流,p2,basic,全局总览,近期创建/更新的需求、功能、产品动态,PMS-FEA-OV-DASH-ACTIVITY,点击条目跳转对应详情,跳转路由正确
全局总览/产品,产品管理,,,全局总览,产品建档与维护,?section=products,,
全局总览/产品/产品列表,产品列表,p0,core,全局总览,卡片/表格双视图展示可见产品,PMS-FEA-PROD-LIST,应用管理员见全部；成员见负责/参与产品,点击产品进入单产品工作台
全局总览/产品/搜索筛选,搜索与类型筛选,p1,basic,全局总览,按名称、编号、产品类型筛选,PMS-FEA-PROD-FILTER,支持关键词即时过滤,筛选后条数与条件一致
全局总览/产品/收藏筛选,收藏筛选,p3,basic,全局总览,仅显示已收藏产品,PMS-FEA-PROD-FAV,偏好存 sessionStorage,刷新后收藏状态保留
全局总览/产品/新建编辑,新建与编辑产品,p1,core,全局总览,创建或修改名称、编码、描述、分级、负责人,PMS-FEA-PROD-CREATE,名称全局唯一,保存后列表立即可见
全局总览/产品/删除产品,删除产品,p2,core,全局总览,删除产品及其关联数据需确认,PMS-FEA-PROD-DELETE,需二次确认,删除后列表不再显示
全局总览/产品/批量导出,批量导出 CSV,p2,basic,全局总览,选中多条产品导出摘要,PMS-FEA-PROD-EXPORT,至少选 1 条,导出文件含选中产品字段
全局总览/产品/批量导入,批量导入产品,p2,basic,全局总览,从 CSV/Excel 导入初始产品清单,PMS-FEA-PROD-IMPORT,同名跳过,弹窗显示新增与跳过数量
全局总览/需求,需求总览,,,全局总览,跨产品需求汇总,?section=requirements,,
全局总览/需求/需求列表,跨产品需求列表,p0,core,全局总览,全部产品需求汇总表,PMS-FEA-OV-REQ-LIST,支持排序与列筛选,列头含分级、状态、处理人
全局总览/需求/我负责的,我负责的筛选,p1,core,全局总览,仅显示当前用户为处理人的需求,PMS-FEA-OV-REQ-MINE,与处理人字段匹配,切换后条数正确
全局总览/需求/多维筛选,多维筛选,p1,basic,全局总览,按产品/处理人/状态/分级等组合筛选,PMS-FEA-OV-REQ-FILTER,支持追踪标记联动,筛选条件可清空重置
全局总览/需求/追踪筛选,追踪筛选,p2,basic,全局总览,仅显示已追踪记录,PMS-FEA-OV-REQ-TRACK,追踪状态存 sessionStorage,标记后列表可过滤
全局总览/需求/批量导出,批量导出,p2,basic,全局总览,选中需求导出 CSV,PMS-FEA-OV-REQ-EXPORT,支持全选,导出字段与列表一致
全局总览/需求/历史导入,历史需求导入,p1,core,全局总览,CSV/Excel/RTF 导入 TAPD 历史需求,PMS-FEA-OV-REQ-IMPORT,按分类/应用/产品列自动路由,未匹配产品有明确跳过反馈
全局总览/功能,功能总览,,,全局总览,跨产品功能目录,?section=features,,
全局总览/功能/功能目录,功能目录树与表格,p1,core,全局总览,先选产品后展示该产品的功能树,PMS-FEA-OV-FEAT-CATALOG,须选正式版本,切换版本后树节点随之变化
全局总览/功能/版本筛选,正式版本筛选,p1,basic,全局总览,按正式版本过滤功能目录,PMS-FEA-OV-FEAT-VER,仅正式版本可选,无版本时提示先申领
全局总览/功能/目录导入,功能目录结构导入,p1,core,全局总览,CSV/Excel 按路径批量导入功能树,PMS-FEA-OV-FEAT-IMPORT,须选归属正式版本；应用管理员可见,导入后树结构完整
全局总览/功能/新建功能,新建功能,p2,core,全局总览,跳转单产品新建功能页,PMS-FEA-OV-FEAT-CREATE,需先选产品,路由含正确 productId
全局总览/缺陷,缺陷总览,,,全局总览,跨产品缺陷汇总,?section=defects,,
全局总览/缺陷/缺陷列表,跨产品缺陷列表,p1,core,全局总览,全部产品缺陷汇总表,PMS-FEA-OV-DEF-LIST,TAPD 优先级映射为严重程度,列含严重程度与处理人
